Steps,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/GAIL Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Policy/Entropy,Is Training
650000,0.999548,2.601052,406.05263157894734,10.968889537453652,5.484444768726826,116.93311567748897,0.20075867,0.02359518,0.00029614466,0.74701107,0.25078884,0.7200069,0.6976318,1.0
660000,0.98516935,2.756061,411.04545454545456,11.758499424565922,5.879249712282961,120.3832995864478,0.18642808,0.022117862,0.0002960818,0.7282222,0.24597019,0.72561294,0.83966476,1.0
670000,0.84279376,2.5450704,413.962962962963,12.417006968348115,6.208503484174058,129.85965726448705,0.22500186,0.02076573,0.0002960198,0.77887255,0.2664449,0.71329904,0.79440266,1.0
680000,0.88024414,2.5738037,404.7307692307692,10.226545825600624,5.113272912800312,124.1353689567186,0.2973895,0.027178047,0.00029595758,0.79910797,0.2771827,0.7065752,0.7329755,1.0
690000,1.0294203,2.7760472,407.65,11.418269529938698,5.709134764969349,106.026622062549,0.19287875,0.021098912,0.0002958961,0.76280886,0.2602831,0.7149373,0.6939933,1.0
700000,0.7794864,2.5035503,442.8333333333333,12.286232881247997,6.143116440623999,133.53381088282913,0.23674586,0.0246025,0.00029583354,0.78098845,0.27149576,0.7127202,0.68544495,1.0
710000,0.98223644,2.7453394,505.5,12.211199283599854,6.105599641799927,149.76337950187735,0.23100361,0.02074931,0.00029577155,0.7858151,0.2712339,0.7098742,0.6740103,1.0
720000,0.8794482,2.9190133,448.44444444444446,12.160110470321444,6.080055235160722,150.60379328247575,0.251956,0.021336067,0.00029570892,0.79497063,0.2834056,0.7111957,0.7380929,1.0
730000,0.77986056,2.830201,517.8260869565217,8.504929469979327,4.252464734989664,162.40957410584974,0.21740648,0.026710717,0.00029564684,0.80370235,0.2851031,0.70792794,0.678567,1.0
740000,0.9173188,2.8031373,474.3636363636364,10.768562746318905,5.384281373159452,147.60916611010379,0.18767531,0.019560304,0.00029558537,0.8080988,0.2875422,0.7053715,0.7434775,1.0
750000,0.89402395,2.7288585,484.72727272727275,9.857399108734997,4.9286995543674985,141.77578480448574,0.16008772,0.021178288,0.0002955237,0.7978209,0.28265953,0.7078526,0.7170711,1.0
760000,0.8510097,2.6414618,449.76,10.549847130030393,5.274923565015197,140.25101234041153,0.17495988,0.020553146,0.0002954617,0.8204267,0.28751507,0.6996615,0.68397176,1.0
770000,0.90148044,2.6752355,462.1304347826087,10.71172127775524,5.35586063887762,146.4867939390242,0.15759803,0.019264612,0.00029539972,0.799057,0.27923167,0.70333546,0.681456,1.0
780000,0.82304436,2.7893565,440.76,10.65164722919464,5.32582361459732,136.0469591692835,0.19768254,0.024462696,0.0002953373,0.8032659,0.28087273,0.70264125,0.725272,1.0
790000,0.89690375,2.7936833,407.04761904761904,9.018689307570458,4.509344653785229,123.75191034881281,0.1842615,0.02145292,0.00029527495,0.8146013,0.28305382,0.70031464,0.70414865,1.0
800000,0.94410616,2.9143364,440.5263157894737,10.885199195460268,5.442599597730134,147.28010481752847,0.17831376,0.028362814,0.00029521348,0.817243,0.28299722,0.7010136,0.73948574,1.0
810000,0.78890884,2.7005553,463.4074074074074,9.98146819953735,4.990734099768675,143.72133891721472,0.25170365,0.023301499,0.0002951511,0.8404954,0.29327953,0.6920296,0.6289671,1.0
820000,0.89303863,2.9102864,436.5,10.734135791659355,5.367067895829678,134.3955175330312,0.16735968,0.022331027,0.00029508892,0.82724017,0.2902444,0.6975926,0.6759482,1.0
830000,0.9600378,2.9259531,485.29411764705884,12.246349025517702,6.123174512758851,174.00093098846264,0.13994053,0.016121177,0.00029502617,0.82717264,0.28758666,0.69083875,0.7993961,1.0
840000,0.8306414,2.7547953,466.89285714285717,11.461317817370096,5.730658908685048,155.45156394395357,0.15819182,0.029732315,0.00029496412,0.8347908,0.29084823,0.68972474,0.67605036,1.0
850000,0.9626671,2.9350827,448.5652173913044,12.960361182689667,6.480180591344833,148.68121002064575,0.148032,0.02656379,0.00029490265,0.8364886,0.29233405,0.69205284,0.6948561,1.0
860000,1.0753443,3.0437207,449.94117647058823,12.432508976757527,6.216254488378763,134.9321059798589,0.1692559,0.02173439,0.00029484098,0.845656,0.29674372,0.68462217,0.7396374,1.0
870000,0.92558587,2.7330542,435.7894736842105,12.00291721251878,6.00145860625939,150.6812941409986,None,None,None,None,None,None,0.67873436,1.0
880000,0.8327525,2.4800887,451.68,11.42946316242218,5.71473158121109,145.461845432166,0.15859063,0.030194044,0.00029477914,0.824932,0.28679162,0.6934261,0.54675,1.0
890000,0.88060117,2.457757,421.25,9.415549547970295,4.707774773985148,126.10035975107749,0.16038194,0.028382005,0.00029471665,0.7864094,0.27331597,0.7074954,0.57393146,1.0
900000,0.97905016,2.8739154,495.2857142857143,8.472170699919973,4.236085349959986,151.26758286729455,0.2457578,0.025992949,0.0002946546,0.7701711,0.26755017,0.7213939,0.6257394,1.0
910000,0.76887137,2.732509,478.16,9.804167002439499,4.9020835012197495,159.97782314829527,0.2162444,0.022560744,0.0002945929,0.80017895,0.28369766,0.709432,0.595258,1.0
920000,0.84970856,2.9541583,491.73333333333335,11.601452604929607,5.8007263024648035,174.81967167394856,0.21215516,0.027327321,0.0002945314,0.79131305,0.27911836,0.7129637,0.603249,1.0
930000,0.743103,2.7781065,485.57142857142856,7.736018126919156,3.868009063459578,128.97220941757163,0.21502312,0.021456081,0.00029446994,0.7998527,0.2827383,0.7115292,0.7134937,1.0
940000,0.74792314,2.573902,555.9166666666666,10.076115541160107,5.038057770580053,174.0954259611511,0.2119782,0.025529126,0.00029440815,0.8070622,0.28493664,0.7058176,0.6005584,1.0
950000,0.9017231,2.9274504,501.55555555555554,9.634022968656877,4.817011484328439,155.49780884301393,0.15008463,0.02756478,0.00029434607,0.75017095,0.25870255,0.7219208,0.64897996,1.0
960000,0.6701207,2.6890273,499.92,11.015683668164106,5.507841834082053,155.9831361597798,0.15049195,0.022065552,0.00029428414,0.7844832,0.27737993,0.7103388,0.7076906,1.0
970000,0.8613486,3.093142,488.3125,12.558386765420437,6.279193382710218,167.02829907136038,0.1815454,0.018767636,0.0002942222,0.82438415,0.29096717,0.6988108,0.6155978,1.0
980000,0.6991628,2.5335453,447.0357142857143,9.642534985539637,4.8212674927698185,133.956162687258,0.19137362,0.026481146,0.0002941607,0.8307276,0.2966793,0.69828445,0.54936093,1.0
990000,0.7197031,2.417905,480.8095238095238,10.26077981647991,5.130389908239955,143.1790058663492,0.15434271,0.020681297,0.00029409895,0.7357988,0.25139725,0.7273417,0.5759715,1.0
